date, pm25, pm10, o3, no2, so2, co
2018/4/13, 140, 117, , 94, , 
2018/4/14, 160, 137, , 97, , 
2018/4/15, 177, 191, , 109, , 
2018/4/16, 197, 132, , 90, , 
2018/4/17, 146, 116, , 80, , 
2018/4/18, 138, 148, , 87, , 
2018/4/19, 160, 332, , 103, , 
2018/4/20, 142, 301, , , , 
2018/4/21, 160, 101, , , , 
2018/4/22, 113, 102, , , , 
2018/4/23, 135, 127, , , , 
2018/4/24, 159, 124, , 82, 2, 
2018/4/25, 151, 228, , 98, 4, 
2018/4/26, 195, 169, , 92, 1, 
2018/4/27, 173, 147, , 83, 1, 
2018/4/28, 161, 123, , 89, 1, 
2018/4/29, 167, 114, , 90, , 
2018/4/30, 160, 85, , 80, , 
2018/5/1, 124, 159, , 78, , 
2018/5/2, 129, 79, , 53, 1, 
2018/5/3, 116, 71, , 34, , 
2018/5/4, 108, 103, , 43, , 
2018/5/5, 159, 124, , 40, 2, 
2018/5/6, 169, 146, , 44, 1, 
2018/5/7, 174, 95, , 23, , 
2018/5/8, 109, 94, , 45, 1, 
2018/5/9, 149, 116, , 34, , 
2018/5/10, 180, 132, , 55, 2, 
2018/5/11, 203, 145, , 82, 3, 
2018/5/12, 216, 103, , 49, 3, 
2018/5/13, 166, 69, , 40, 12, 
2018/5/14, 133, 84, , 33, 23, 
2018/5/15, 161, 78, , 48, 1, 
2018/5/16, 124, 128, , 54, 2, 
2018/5/17, 169, 119, , 58, 2, 
2018/5/18, 167, 138, , 60, 1, 
2018/5/19, 171, 104, , 52, 2, 
2018/5/20, 166, 92, , 52, 2, 
2018/5/21, 146, 103, , 51, 3, 
2018/5/22, 146, 149, , 79, 5, 
2018/5/23, 250, 130, , 50, 4, 
2018/5/24, 182, , , 67, 4, 
2018/5/25, 154, 82, , 47, 3, 
2018/5/26, 139, 122, , 61, 2, 
2018/5/27, 129, 134, , 64, 3, 
2018/5/28, 162, 161, , 60, 4, 
2018/5/29, 185, 145, , 56, 2, 
2018/5/30, 176, 164, , 52, 3, 
2018/5/31, 247, 269, , 48, 1, 
2018/6/1, 268, 131, , 47, 1, 
2018/6/2, 236, 144, , 42, 1, 
2018/6/3, 241, 148, , 50, 1, 
2018/6/4, 241, 290, , 42, 1, 
2018/6/5, 388, , , , , 
2018/6/7, 203, 188, , 47, 1, 
2018/6/8, 242, 132, , 34, 1, 
2018/6/9, 187, 179, , 35, 1, 
2018/6/10, 276, 173, , 36, 1, 
2018/6/11, 227, 489, , 34, 1, 45
2018/6/12, 293, 903, , 28, , 3
2018/6/13, 522, 639, , 22, 3, 2
2018/6/14, 401, 348, , 24, 5, 5
2018/6/15, 309, 308, , 28, 6, 7
2018/6/16, 228, 169, , 24, 5, 5
2018/6/17, 192, 94, , 25, 7, 7
2018/6/18, 164, 92, , 28, 5, 4
2018/6/19, 149, 102, , 35, 5, 10
2018/6/20, 151, 146, , 43, 4, 11
2018/6/21, 169, 130, , 55, 5, 13
2018/6/22, 176, 134, , 45, 8, 11
2018/6/23, 185, 107, , 35, 13, 9
2018/6/24, 165, 171, , 34, 8, 8
2018/6/25, 190, 106, , 34, 4, 9
2018/6/26, 168, 178, , 33, 2, 12
2018/6/27, 238, 112, , 28, 2, 12
2018/6/28, 208, 81, , 31, 2, 12
2018/6/29, 132, 69, , 32, 2, 10
2018/6/30, 137, 90, , 24, 2, 8
2018/1/1, 276, 216, , 13, , 
2018/1/2, 284, 196, , 7, , 
2018/1/3, 287, 229, , 8, , 
2018/1/4, 316, 234, , 18, , 
2018/1/5, 321, 264, , 11, , 
2018/1/6, 343, 171, , , , 
2018/1/7, 270, 154, , 14, , 
2018/1/8, 230, 230, , 16, , 
2018/1/9, 311, 155, , 21, , 
2018/1/10, 251, 124, , 24, , 
2018/1/11, 214, 154, , 21, , 
2018/1/12, 236, 226, , 19, , 
2018/1/13, 314, 177, , , , 
2018/1/14, 282, 151, , 83, , 
2018/1/15, 252, 142, , 28, , 
2018/1/16, 202, 247, , , , 
2018/1/17, 317, 313, , , , 
2018/1/18, 383, 273, , , , 
2018/1/19, 339, 176, , , , 
2018/1/20, 242, 194, , , , 
2018/1/21, 250, 239, , 27, , 
2018/1/22, 291, 169, , 6, , 
2018/1/23, 247, 122, , 46, , 
2018/1/24, 204, 105, , 35, , 
2018/1/25, 191, 136, , 29, , 
2018/1/26, 215, 169, , 35, , 
2018/1/27, 233, 159, , 34, , 
2018/1/28, 227, 162, , 37, , 
2018/1/29, 225, 123, , 35, , 
2018/1/30, 184, 123, , 32, , 
2018/1/31, 189, 148, , 46, , 
2018/2/1, 213, 125, , 42, , 
2018/2/2, 185, 107, , 39, , 
2018/2/3, 166, 105, , 35, , 
2018/2/4, 175, 123, , 43, , 
2018/2/5, 195, 103, , 40, , 
2018/2/6, 177, 94, , 47, , 
2018/2/7, 172, 160, , 54, , 
2018/2/8, 246, 191, , 62, , 
2018/2/9, 258, 193, , 53, , 
2018/2/10, 248, 157, , 38, , 
2018/2/11, 213, 81, , 30, , 
2018/2/12, 156, 97, , 32, , 
2018/2/13, 175, 80, , 30, , 
2018/2/14, 142, 87, , 33, , 
2018/2/15, 159, 113, , 40, , 
2018/2/16, 188, 125, , 41, , 
2018/2/17, 192, 113, , 34, , 
2018/2/18, 187, 138, , 33, , 
2018/2/19, 216, 148, , 36, , 
2018/2/20, 212, 174, , 41, , 
2018/2/21, 218, 135, , 41, , 
2018/2/22, 195, 140, , 38, , 
2018/2/23, 198, 149, , 43, , 
2018/2/24, 200, 83, , 30, , 
2018/2/25, 143, 64, , 27, , 
2018/2/26, 109, 81, , 33, , 
2018/2/27, 141, 138, , 36, , 
2018/2/28, 203, 122, , 35, , 
2018/3/1, 177, 118, , 33, , 
2018/3/2, 193, 104, , 33, , 
2018/3/3, 165, 92, , 29, , 
2018/3/4, 148, 80, , 30, , 
2018/3/5, 131, 77, , 31, , 
2018/3/6, 134, 83, , 34, , 
2018/3/7, 145, 118, , 41, , 
2018/3/8, 183, 131, , 37, , 
2018/3/9, 200, 81, , 30, , 
2018/3/10, 140, 94, , 34, , 
2018/3/11, 161, 102, , 37, , 
2018/3/12, 168, 110, , 35, , 
2018/3/13, 158, 151, , 37, , 
2018/3/14, 172, 134, , 32, , 
2018/3/15, 162, 119, , 27, , 
