date, pm25, pm10, o3, no2, so2, co
2022/2/1, 285, 187, 16, 10, 2, 10
2022/2/2, 247, 138, 8, 7, 2, 11
2022/2/3, 226, 77, 6, 6, 2, 9
2022/2/4, 145, 179, 9, 9, 2, 12
2022/2/5, 220, 625, 3, 8, 4, 41
2022/2/6, 462, 198, 11, 13, 2, 12
2022/2/7, 220, 269, 12, 14, 2, 12
2022/2/8, 249, 145, 9, 7, 2, 5
2022/2/9, 186, 126, 6, 8, 2, 6
2022/2/10, 171, 132, 10, 9, 2, 10
2022/2/11, 163, 136, 10, 9, 2, 11
2022/2/12, 167, 238, 10, 11, 3, 15
2022/2/13, 223, 284, 11, 9, 3, 16
2022/2/14, 279, , , , , 
2022/1/3, 337, 387, 2, 22, 2, 17
2022/1/4, 332, 304, 5, 16, 1, 14
2022/1/5, 362, 132, 2, 11, 1, 10
2022/1/6, 204, 96, 2, 9, 1, 8
2022/1/7, 167, 58, 3, 6, 1, 8
2022/1/8, 149, 55, 2, 5, 1, 7
2022/1/9, 143, 98, 2, 9, 1, 10
2022/1/10, 179, 106, 2, 12, 1, 8
2022/1/11, 178, 134, 2, 13, 1, 10
2022/1/12, 197, 193, 2, 15, 1, 12
2022/1/13, 261, 203, 2, 14, 2, 12
2022/1/14, 265, 112, 2, 9, 1, 7
2022/1/15, 188, 129, 3, 10, 1, 9
2022/1/16, 208, 237, 4, 16, 1, 12
2022/1/17, 288, 201, 2, 13, 1, 8
2022/1/18, 270, 206, 2, 13, 1, 12
2022/1/19, 257, 377, 3, 15, 2, 14
2022/1/20, 375, 279, 5, 15, 1, 8
2022/1/21, 304, 124, , 9, 1, 5
2022/1/22, 211, 120, 2, 6, 1, 14
2022/1/23, 206, 131, 2, 10, 1, 5
2022/1/24, 199, 161, 2, 9, 2, 11
2022/1/25, 213, 144, 2, 9, 1, 5
2022/1/26, 207, 151, 6, 11, 1, 7
2022/1/27, 214, 165, 9, 12, 2, 10
2022/1/28, 205, 148, 11, 14, 2, 9
2022/1/29, 194, 173, 12, 12, 3, 8
2022/1/30, 226, 295, 8, 15, 2, 19
2022/1/31, 318, 222, 5, 12, 2, 8
2021/10/1, 144, 101, 3, 8, 1, 3
2021/10/2, 144, 99, 3, 7, 1, 3
2021/10/3, 135, 89, 1, 5, 1, 
2021/10/4, 85, 107, 2, 9, 1, 3
2021/10/5, 136, 88, 2, 8, 1, 3
2021/10/6, 141, 109, 8, 11, 1, 4
2021/10/7, 159, 148, 18, 15, 3, 6
2021/10/8, 156, 164, 19, 14, 2, 5
2021/10/9, 145, 167, 22, 12, 1, 5
2021/10/10, 142, 147, 16, 10, 1, 5
2021/10/11, 136, 202, 4, 11, 1, 6
2021/10/12, 141, 150, 23, 12, 1, 4
2021/10/13, 160, 142, 23, 15, 2, 4
2021/10/14, 157, 145, 34, 15, 2, 6
2021/10/15, 158, 251, 27, 17, 2, 7
2021/10/16, 172, 163, 4, 8, 1, 5
2021/10/17, 102, 35, 5, 5, 1, 5
2021/10/18, 55, 98, 14, 9, 1, 5
2021/10/19, 121, 180, 20, 15, 1, 9
2021/10/20, 161, 227, 16, 15, 1, 5
2021/10/21, 160, 180, 13, 14, 2, 12
2021/10/22, 126, 151, 19, 13, 2, 8
2021/10/23, 128, 110, 23, 11, 2, 4
2021/10/24, 152, 88, 16, 12, 2, 8
2021/10/25, 117, 122, 19, 14, 2, 5
2021/10/26, 148, 169, 25, 17, 4, 6
2021/10/27, 160, 234, 21, 21, 4, 15
2021/10/28, 158, 273, 23, 23, 5, 8
2021/10/29, 164, 202, 15, 23, 4, 9
2021/10/30, 132, 275, 20, 21, 5, 15
2021/10/31, 160, 307, 22, 26, 3, 11
2021/11/1, 208, 274, 22, 24, 2, 11
2021/11/2, 210, 354, 25, 26, 3, 14
2021/11/3, 255, 451, 20, 22, 4, 13
2021/11/4, 430, 555, 15, 19, 7, 11
2021/11/5, 524, 374, 15, 22, 4, 4
2021/11/6, 376, 409, 18, 24, 4, 12
2021/11/7, 363, 414, 18, 27, 5, 13
2021/11/8, 357, 443, 16, 28, 7, 12
2021/11/9, 368, 401, 24, 28, 5, 15
2021/11/10, 308, 618, 5, 33, 5, 25
2021/11/11, 436, 712, 12, 31, 4, 23
2021/11/12, 492, 473, 8, 29, 4, 20
2021/11/13, 358, 389, 18, 29, 6, 19
2021/11/14, 294, 359, 13, 28, 5, 18
2021/11/15, 302, 397, 13, 25, 6, 15
2021/11/16, 348, 421, 13, 24, 5, 19
2021/11/17, 322, 420, 16, 29, 4, 22
2021/11/18, 319, 393, 16, 29, 6, 16
2021/11/19, 338, 333, 16, 28, 5, 14
2021/11/20, 301, 234, 16, 22, 3, 8
2021/11/21, 258, 189, 14, 17, 4, 8
2021/11/22, 204, 340, 15, 22, 6, 25
2021/11/23, 256, 437, 15, 34, 4, 18
2021/11/24, 353, 505, 12, 38, 4, 22
2021/11/25, 368, 568, 11, 29, 4, 20
2021/11/26, 415, 479, 27, 28, 3, 23
2021/11/27, 375, 399, 15, 23, 3, 12
2021/11/28, 374, 329, 5, 21, 3, 16
2021/11/29, 306, 274, 7, 22, 3, 18
2021/11/30, 253, 440, 2, 28, 2, 7
2021/12/1, 359, 317, , 17, 2, 9
2021/12/2, 347, 232, 2, 17, 2, 16
2021/12/3, 274, 290, 3, 20, 3, 21
2021/12/4, 278, 314, 20, 25, 1, 18
2021/12/5, 295, 161, 1, 16, 1, 8
2021/12/6, 211, 133, 1, 15, 1, 10
2021/12/7, 177, 158, 1, 17, 1, 14
2021/12/8, 191, 217, 1, 20, 2, 11
2021/12/9, 240, 182, 1, 20, 2, 13
2021/12/10, 230, 168, 1, 19, 2, 13
2021/12/11, 205, 249, 1, 22, 2, 31
2021/12/12, 244, 345, 5, 23, 2, 20
2021/12/13, 313, 354, 5, 25, 1, 19
2021/12/14, 330, 204, 1, 22, 1, 12
2021/12/15, 253, 244, 2, 23, 1, 14
2021/12/16, 288, 151, 1, 18, 1, 9
2021/12/17, 217, 141, 1, 19, 1, 11
2021/12/18, 204, 151, 2, 17, 2, 11
2021/12/19, 212, 281, 2, 23, 2, 18
2021/12/20, 303, 556, 2, 28, 2, 26
2021/12/21, 431, 480, 2, 32, 2, 23
2021/12/22, 412, 642, 10, 30, 2, 34
2021/12/23, 496, 456, 2, 23, 2, 15
2021/12/24, 395, 535, 2, 27, 1, 15
2021/12/25, 464, 505, 2, 20, 2, 11
2021/12/26, 471, 143, 1, 15, 1, 13
2021/12/27, 195, 154, 2, 17, 2, 12
2021/12/28, 220, 153, 2, 14, 1, 15
2021/12/29, 208, 221, 2, 19, 1, 9
2021/12/30, 230, 244, 3, 19, 1, 10
2021/12/31, 259, 394, 3, 23, 2, 29
2022/1/1, 330, 332, 3, 22, 1, 17
2022/1/2, 338, 341, 3, 23, 2, 17
2021/7/1, 126, 249, 6, 7, 2, 3
2021/7/2, 158, 152, 6, 8, 2, 4
2021/7/3, 129, 137, 8, 11, 1, 4
2021/7/4, 136, 122, 7, 9, 1, 5
2021/7/5, 131, 122, 11, 9, 1, 5
2021/7/6, 104, 134, 8, 10, 1, 5
2021/7/7, 115, 159, 18, 8, 2, 5
2021/7/8, 104, 94, 25, 7, 1, 6
2021/7/9, 129, 125, 50, 6, 1, 5
2021/7/10, 108, 88, 7, 5, 2, 4
2021/7/11, 134, 81, 7, 4, 2, 5
2021/7/12, 128, 66, 5, 9, 1, 7
2021/7/13, 91, 61, 12, 8, 1, 7
2021/7/14, 118, 80, 14, 7, 1, 6
2021/7/15, 133, 104, 25, 10, 1, 6
2021/7/16, 149, 103, 10, 8, 1, 5
2021/7/17, 154, 106, 7, 12, 2, 7
2021/7/18, 140, 43, 2, 11, 1, 7
2021/7/19, 123, 85, 3, 9, 1, 7
2021/7/20, 183, 83, 5, 11, 1, 8
2021/7/21, 155, 69, 33, 8, 1, 
2021/7/22, 127, 94, 3, 10, 1, 8
2021/7/23, 149, 102, 7, 12, 1, 5
2021/7/24, 169, 94, 28, 9, 1, 2
2021/7/25, 135, 101, 8, 9, 1, 6
2021/7/26, 167, 64, 3, 10, 1, 5
2021/7/27, 148, 42, 3, 9, 1, 5
2021/7/28, 93, 73, 4, 10, 1, 6
2021/7/29, 115, 67, 4, 9, 1, 5
2021/7/30, 144, 80, 8, 9, 1, 7
2021/7/31, 119, 56, 7, 10, 1, 6
2021/8/1, 124, 66, 3, 10, 1, 6
2021/8/2, 113, 88, 3, 9, 1, 6
2021/8/3, 121, 89, 6, 9, 1, 6
2021/8/4, 112, 79, 8, 8, 1, 4
2021/8/5, 118, 86, 3, 8, 1, 6
2021/8/6, 125, 86, 1, 9, 2, 6
2021/8/7, 130, 79, , 10, 1, 6
2021/8/8, 133, 93, 2, 9, 1, 7
2021/8/9, 166, 85, 2, 9, 2, 7
2021/8/10, 133, 105, 5, 7, 2, 4
2021/8/11, 129, 132, 3, 9, 1, 9
2021/8/12, 107, 137, 6, 8, 2, 5
2021/8/13, 130, 122, 3, 7, 1, 5
2021/8/14, 109, 100, 4, 6, 1, 4
2021/8/15, 108, 116, 4, 7, 2, 5
2021/8/16, 120, 140, 5, 8, 1, 6
2021/8/17, 147, 129, 7, 9, 2, 6
2021/8/18, 153, 148, 6, 10, 2, 8
2021/8/19, 157, 73, 5, 5, 2, 6
2021/8/20, 94, 51, 3, 7, 1, 7
2021/8/21, 104, 78, 3, 6, 1, 9
2021/8/22, 144, 85, 5, 9, 1, 7
2021/8/23, 135, 108, 2, 9, 1, 7
2021/8/24, 149, 109, 2, 7, 1, 3
2021/8/25, 108, 115, 2, 9, 1, 5
2021/8/26, 100, 130, 4, 9, 1, 4
2021/8/27, 118, 139, 3, 9, 2, 8
2021/8/28, 142, 123, 3, 7, 2, 5
2021/8/29, 158, 64, 2, 4, 2, 4
2021/8/30, 96, 64, 1, 6, 1, 7
2021/8/31, 106, 43, 2, 4, 1, 6
2021/9/1, 81, 59, 2, 4, 1, 5
2021/9/2, 111, 67, 3, 5, 1, 8
2021/9/3, 98, 78, 6, 6, 2, 8
2021/9/4, 101, 90, 3, 7, 2, 6
2021/9/5, 130, 129, 7, 8, 1, 8
2021/9/6, 140, 88, 3, 4, 1, 5
2021/9/7, 134, 81, 10, 4, 2, 6
2021/9/8, 88, 98, 6, 6, 2, 7
2021/9/9, 112, 95, 9, 5, 2, 6
2021/9/10, 129, 41, 3, 5, 2, 6
2021/9/11, 90, 73, 4, 6, 1, 7
2021/9/12, 122, 80, 3, 5, 1, 6
2021/9/13, 117, 75, 1, 4, 1, 7
2021/9/14, 88, 82, 3, 6, 1, 6
2021/9/15, 84, 74, 15, 7, 1, 7
2021/9/16, 98, 71, 4, 6, 1, 5
2021/9/17, 83, 101, 5, 7, 1, 7
2021/9/18, 125, 94, 4, 7, 1, 5
2021/9/19, 117, 91, 3, 6, 1, 5
2021/9/20, 110, 81, 3, 6, 1, 8
2021/9/21, 105, 82, 2, 6, 1, 7
2021/9/22, 99, 77, 2, 5, 1, 5
2021/9/23, 91, 76, 3, 10, , 
2021/9/24, 108, 78, 2, 7, , 
2021/9/25, 112, 117, 3, 10, 1, 
2021/9/26, 138, 101, 12, 13, 1, 5
2021/9/27, 148, 119, 16, 10, 1, 5
2021/9/28, 120, 97, 9, 8, 1, 3
2021/9/29, 119, 91, 2, 8, 1, 3
2021/9/30, 119, 117, 3, 14, 1, 6
2021/4/1, 76, , 15, 16, 5, 7
2021/4/2, 130, , 22, 20, 5, 9
2021/4/3, 138, , 21, 20, 5, 8
2021/4/4, 146, , 29, 24, 6, 10
2021/4/5, 165, 317, 37, 25, 6, 10
2021/4/6, 197, 175, 24, 17, 3, 7
