date, pm25, pm10, o3, no2, so2, co
2021/12/25, 335, 264, 12, 18, , 22
2021/12/26, 365, 91, 20, 10, 1, 11
2021/12/27, 180, 108, 1, 14, , 15
2021/12/28, 195, 102, 22, 9, 1, 11
2021/12/29, 181, 111, 21, 15, 2, 11
2021/12/30, 189, 141, 27, 16, 2, 13
2021/12/31, 225, 152, 29, 14, 2, 12
2022/1/1, 252, 167, 32, 15, 1, 12
2022/1/2, 272, 134, 29, 16, 3, 10
2021/7/1, 102, 108, 32, 8, 3, 5
2021/7/2, 118, 70, 31, 9, , 5
2021/7/3, 94, 78, 68, 9, 8, 6
2021/7/4, 111, 76, 67, 7, 1, 5
2021/7/5, 100, 81, 49, 7, 4, 5
2021/7/6, 100, 80, 29, 6, 1, 5
2021/7/7, 100, 93, 29, 7, 3, 6
2021/7/8, 100, 66, 55, 8, 3, 6
2021/7/9, 121, 49, 34, 7, 2, 6
2021/7/10, 83, 57, 32, 5, 2, 6
2021/7/11, 107, 46, 27, 4, 2, 5
2021/7/12, 88, 23, 14, 12, 2, 9
2021/7/13, 77, 33, 29, 10, 2, 7
2021/7/14, 75, 49, 51, 9, 3, 8
2021/7/15, 100, 50, 28, 8, 3, 6
2021/7/16, 95, 53, 35, 7, 2, 6
2021/7/17, 109, 38, 25, 7, 2, 7
2021/7/18, 67, 11, 17, 7, 2, 6
2021/7/19, 30, 34, 30, 9, 1, 8
2021/7/20, 80, 46, 33, 8, 2, 9
2021/7/21, 91, 30, 27, 5, 1, 6
2021/7/22, 60, 36, 20, 6, , 8
2021/7/23, 70, 40, 26, 6, , 9
2021/7/24, 84, 40, 16, 6, 1, 9
2021/7/25, 97, 53, 22, 8, 2, 8
2021/7/26, 116, 40, 7, 5, 2, 7
2021/7/27, 90, 20, 2, 5, 1, 12
2021/7/28, 47, 30, 9, 7, 2, 11
2021/7/29, 58, 33, 13, 9, 2, 9
2021/7/30, 78, 27, 11, 4, 1, 5
2021/7/31, 48, 39, 17, 5, 2, 10
2021/8/1, 84, 47, 16, 8, 3, 13
2021/8/2, 107, 36, 12, 6, 2, 6
2021/8/3, 68, 29, 16, 5, 2, 8
2021/8/4, 52, 47, 27, 6, 2, 12
2021/8/5, 89, 53, 33, 7, 4, 10
2021/8/6, 105, 45, 11, 8, 2, 10
2021/8/7, 96, 46, 12, 12, 3, 10
2021/8/8, 104, 51, 26, 12, 1, 13
2021/8/9, 122, 68, 19, 6, 2, 10
2021/8/10, 92, 56, 17, 5, 1, 4
2021/8/11, 73, 69, 18, 5, 2, 6
2021/8/12, 70, 58, 19, 6, 1, 5
2021/8/13, 77, 60, 17, 6, 2, 9
2021/8/14, 78, 61, 21, 5, 2, 7
2021/8/15, 84, 62, 24, 7, 2, 7
2021/8/16, 90, 69, 30, 8, 2, 8
2021/8/17, 110, 72, 39, 9, 1, 10
2021/8/18, 132, 84, 39, 15, 3, 9
2021/8/19, 158, 48, 8, 12, 2, 5
2021/8/20, 116, 21, 8, 10, 2, 7
2021/8/21, 60, 40, 10, 7, 2, 5
2021/8/22, 104, 35, 18, 7, 2, 9
2021/8/23, 86, 43, 17, 8, 2, 7
2021/8/24, 99, 57, 24, 5, , 8
2021/8/25, 91, 58, 19, 5, 1, 8
2021/8/26, 77, 71, 23, 9, 2, 17
2021/8/27, 101, 65, 29, 13, 1, 14
2021/8/28, 119, 59, 19, 10, 2, 12
2021/8/29, 129, 25, 23, 5, 2, 11
2021/8/30, 70, 13, 6, 10, 2, 11
2021/8/31, 55, 17, 5, 11, 2, 12
2021/9/1, 54, 31, 18, 10, 2, 13
2021/9/2, 71, 31, 16, 9, 2, 11
2021/9/3, 66, 36, 11, 11, 2, 13
2021/9/4, 67, 39, 19, 6, 2, 12
2021/9/5, 85, 48, 15, 7, 2, 12
2021/9/6, 105, 47, 13, 10, 2, 12
2021/9/7, 111, 34, 14, 11, 2, 13
2021/9/8, 70, 39, 15, 11, 2, 12
2021/9/9, 85, 35, 11, 11, 1, 12
2021/9/10, 87, 17, 10, 13, 2, 13
2021/9/11, 55, 25, 12, 9, 2, 12
2021/9/12, 69, 42, 16, 12, 2, 14
2021/9/13, 97, 39, 31, 10, 3, 12
2021/9/14, 68, 28, 13, 8, 2, 11
2021/9/15, 44, 28, 7, 9, 2, 12
2021/9/16, 53, 35, 13, 11, 2, 11
