date, pm25, pm10, o3, no2, so2, co
2022/2/1, 257, 163, 25, 9, 2, 7
2022/2/2, 235, 125, 12, 7, 1, 6
2022/2/3, 217, 84, 15, 5, 1, 6
2022/2/4, 147, 189, 12, 9, 1, 18
2022/2/5, 228, 258, 23, 10, 1, 23
2022/2/6, 281, 248, 23, 16, 1, 17
2022/2/7, 240, 308, 23, 16, 2, 19
2022/2/8, 277, 122, 18, 8, 1, 7
2022/2/9, 175, 122, 19, 8, 1, 7
2022/2/10, 168, 98, 22, 7, 4, 5
2022/2/11, 156, 135, 24, 10, 2, 8
2022/2/12, 172, 221, 27, 14, 2, 17
2022/2/13, 211, 203, 23, 12, 1, 16
2022/2/14, 195, , , , , 
2022/1/3, 341, 301, 13, 16, 2, 20
2022/1/4, 311, 393, 5, 15, , 20
2022/1/5, 408, 98, 3, 12, , 9
2022/1/6, 164, 79, 6, 5, , 6
2022/1/7, 158, 58, 5, 2, , 5
2022/1/8, 136, 55, 4, 1, , 4
2022/1/9, 114, 96, 8, 4, 1, 7
2022/1/10, 167, 109, 9, 2, , 8
2022/1/11, 173, 125, 11, 3, , 9
2022/1/12, 179, 176, 10, 5, 1, 13
2022/1/13, 212, 191, 5, 7, 1, 12
2022/1/14, 238, 104, 6, 2, , 4
2022/1/15, 185, 155, 10, 6, , 7
2022/1/16, 239, 233, 9, 10, , 9
2022/1/17, 279, 163, 8, 5, , 7
2022/1/18, 250, 204, 10, 6, , 9
2022/1/19, 260, 353, 13, 12, , 15
2022/1/20, 370, 297, 19, 14, , 17
2022/1/21, 325, 128, 13, 8, , 8
2022/1/22, 216, 106, 14, 4, , 8
2022/1/23, 194, 132, 6, 7, 2, 12
2022/1/24, 205, 140, 5, 8, 1, 11
2022/1/25, 196, 136, 10, 7, 1, 9
2022/1/26, 205, 109, 17, 8, 2, 6
2022/1/27, 185, 124, 21, 8, 3, 7
2022/1/28, 178, 145, 22, 11, 2, 9
2022/1/29, 199, 138, 23, 9, 4, 6
2022/1/30, 215, 248, 42, 15, 2, 14
2022/1/31, 303, 152, 10, 9, 2, 9
2021/10/1, 139, 85, 43, 5, 2, 33
2021/10/2, 141, 68, 2, 4, 1, 19
2021/10/3, 112, 71, 2, 3, 2, 13
2021/10/4, 91, 81, 9, 5, 1, 6
2021/10/5, 105, 74, 5, 3, 1, 5
2021/10/6, 134, 86, 16, 3, 2, 6
2021/10/7, 153, 126, 19, 8, 2, 12
2021/10/8, 152, 124, 13, 12, 2, 10
2021/10/9, 147, 116, 5, 8, 2, 13
2021/10/10, 144, 119, 2, 8, 1, 14
2021/10/11, 141, 130, 4, 11, 2, 10
2021/10/12, 147, 121, 10, 6, 2, 6
2021/10/13, 159, 115, 20, 8, 3, 6
2021/10/14, 157, 135, 19, 10, 3, 13
2021/10/15, 173, 178, 21, 14, 3, 11
2021/10/16, 213, 168, 4, 6, 2, 11
2021/10/17, 90, 26, 6, 6, , 12
2021/10/18, 47, 64, 16, 6, 1, 11
2021/10/19, 121, 156, 25, 14, 2, 18
2021/10/20, 184, 150, 15, 11, 1, 12
2021/10/21, 156, 132, 17, 11, 2, 14
2021/10/22, 131, 130, 21, 15, 1, 13
2021/10/23, 141, 102, 22, 11, 1, 12
2021/10/24, 157, 89, 23, 7, 1, 11
2021/10/25, 118, 111, 25, 8, 1, 10
2021/10/26, 150, 152, 32, 10, 2, 11
2021/10/27, 190, 182, 34, 11, 2, 12
2021/10/28, 199, 190, 38, 12, 3, 12
2021/10/29, 195, 146, 31, 12, 3, 11
2021/10/30, 186, 208, 33, 13, 2, 12
2021/10/31, 182, 221, 31, 23, 1, 15
2021/11/1, 196, 172, 30, 23, 2, 12
2021/11/2, 196, 282, 27, 24, 2, 14
2021/11/3, 204, 388, 23, 13, 2, 12
2021/11/4, 475, 544, 18, 13, 4, 13
2021/11/5, 524, 326, 26, 12, 3, 12
2021/11/6, 374, 358, 29, 13, 3, 12
2021/11/7, 364, 312, 28, 16, 3, 12
2021/11/8, 346, 355, 27, 17, 4, 12
2021/11/9, 352, 281, 31, 19, 3, 14
2021/11/10, 291, 478, 8, 24, 3, 16
2021/11/11, 407, 515, 18, 19, 2, 17
2021/11/12, 457, 373, 20, 16, 2, 15
2021/11/13, 339, 248, 40, 14, 3, 12
2021/11/14, 294, 287, 23, 19, 4, 13
2021/11/15, 293, 359, 27, 18, 3, 13
2021/11/16, 359, 321, 25, 18, 2, 14
2021/11/17, 323, 334, 33, 22, 3, 17
2021/11/18, 318, 336, 26, 21, 4, 15
2021/11/19, 335, 301, 29, 20, 4, 14
2021/11/20, 321, 200, 27, 14, 2, 11
2021/11/21, 274, 151, 26, 9, 4, 10
2021/11/22, 217, 208, 29, 17, 3, 13
2021/11/23, 228, 351, 23, 34, 3, 16
2021/11/24, 336, 397, 28, 27, 3, 17
2021/11/25, 387, 426, 27, 20, 2, 18
2021/11/26, 386, 439, 24, 24, 2, 19
2021/11/27, 401, 380, 23, 18, 2, 15
2021/11/28, 381, 275, 19, 14, 2, 14
2021/11/29, 307, 225, 21, 14, 2, 13
2021/11/30, 255, 365, 10, 19, 2, 13
2021/12/1, 357, 270, 4, 13, 2, 11
2021/12/2, 346, 213, 14, 11, 1, 13
2021/12/3, 288, 244, 19, 14, 2, 14
2021/12/4, 278, 265, 18, 25, 2, 16
2021/12/5, 299, 137, 17, 10, 1, 12
2021/12/6, 211, 121, 17, 9, 1, 10
2021/12/7, 182, 153, 19, 11, 2, 17
2021/12/8, 201, 183, 19, 15, 2, 19
2021/12/9, 257, 158, 19, 11, 1, 14
2021/12/10, 233, 136, 29, 14, 2, 10
2021/12/11, 209, 230, 23, 15, 2, 28
2021/12/12, 245, 329, 13, 18, 1, 42
2021/12/13, 324, 321, 21, 14, 2, 34
2021/12/14, 333, 207, 22, 12, 3, 21
2021/12/15, 256, 222, 16, 11, 1, 13
2021/12/16, 308, 148, 21, 11, 2, 9
2021/12/17, 240, 124, 20, 7, 1, 11
2021/12/18, 200, 137, 22, 8, 1, 11
2021/12/19, 214, 262, 23, 16, 3, 24
2021/12/20, 303, 500, 19, 16, 2, 45
2021/12/21, 438, 416, 20, 18, 3, 33
2021/12/22, 403, 554, 14, 26, 3, 38
2021/12/23, 487, 455, 9, 22, 2, 34
2021/12/24, 427, 535, 16, 20, 2, 36
2021/12/25, 480, 532, 5, 18, , 22
2021/12/26, 500, 251, 11, 14, 3, 20
2021/12/27, 238, 180, 2, 17, 2, 10
2021/12/28, 254, 192, 12, 10, 2, 13
2021/12/29, 223, 248, 18, 12, 3, 15
2021/12/30, 259, 225, 16, 12, 2, 14
2021/12/31, 263, 279, 16, 14, 3, 18
2022/1/1, 315, 290, 19, 14, 2, 16
2022/1/2, 331, 314, 23, 15, 2, 18
2021/7/1, 115, 194, 3, 5, 1, 7
2021/7/2, 133, 94, 23, 6, 1, 4
2021/7/3, 93, 120, 11, 7, 1, 6
2021/7/4, 140, 108, 7, 5, 2, 4
2021/7/5, 127, 112, 14, 4, 1, 3
2021/7/6, 108, 127, 9, 6, 3, 4
2021/7/7, 122, 139, 9, 5, 3, 4
2021/7/8, 113, 74, 19, 6, 1, 4
2021/7/9, 109, 62, 14, 5, 1, 4
2021/7/10, 97, 72, , 4, 1, 4
2021/7/11, 112, 62, 12, 4, 1, 4
2021/7/12, 101, 44, 7, 5, 1, 5
2021/7/13, 71, 48, 17, 5, 1, 5
2021/7/14, 93, 61, 5, 4, 1, 5
2021/7/15, 112, 75, 16, 5, 1, 5
2021/7/16, 131, 78, 8, 6, 1, 5
2021/7/17, 138, 63, 6, 7, , 5
2021/7/18, 96, 21, 3, 6, , 5
2021/7/19, 45, 61, 5, 5, , 5
2021/7/20, 110, 74, 7, 7, 1, 8
2021/7/21, 124, 46, 4, 4, 1, 5
2021/7/22, 78, 59, 10, 5, 1, 6
2021/7/23, 101, 76, 170, 7, 1, 7
2021/7/24, 127, 69, 8, 5, 2, 6
2021/7/25, 110, 70, 12, 6, 1, 5
2021/7/26, 124, 49, 2, 5, 1, 6
2021/7/27, 101, 33, 1, 4, 1, 4
2021/7/28, 58, 50, 2, 4, 1, 5
2021/7/29, 77, 46, 29, 5, 1, 5
2021/7/30, 91, 56, 17, 4, 1, 7
2021/7/31, 89, 57, 2, 5, 1, 8
2021/8/1, 88, 54, 6, 5, 1, 9
2021/8/2, 102, 50, 15, 3, 1, 8
2021/8/3, 88, 59, 6, 5, 1, 9
2021/8/4, 89, 69, 24, 5, 1, 9
2021/8/5, 107, 70, 5, 5, 2, 9
2021/8/6, 112, 76, 2, 6, 3, 10
2021/8/7, 120, 65, 5, 7, 1, 8
2021/8/8, 120, 78, 5, 7, 1, 9
2021/8/9, 151, 95, 2, 5, 1, 6
2021/8/10, 99, 88, 2, 4, 1, 4
2021/8/11, 90, 85, 3, 4, 1, 5
2021/8/12, 83, 87, 2, 3, 1, 5
2021/8/13, 83, 84, 7, 2, 1, 4
2021/8/14, 80, 88, 3, 1, 1, 3
2021/8/15, 84, 87, 2, 2, 2, 4
2021/8/16, 91, 117, 2, 4, 2, 5
2021/8/17, 132, 112, 115, 6, 2, 7
2021/8/18, 144, 124, 78, 6, 2, 7
2021/8/19, 160, 44, 26, 3, 1, 5
2021/8/20, 60, 28, 229, 2, 1, 5
2021/8/21, 67, 65, 69, 7, 1, 8
2021/8/22, 123, 59, , 5, 1, 6
2021/8/23, 108, 74, , 5, 1, 8
2021/8/24, 126, 86, 3, 4, , 5
2021/8/25, 92, 90, 2, 6, 1, 5
2021/8/26, 79, 114, 3, 6, 1, 5
2021/8/27, 107, 92, 3, 7, 1, 6
2021/8/28, 118, 91, 4, 7, 1, 6
2021/8/29, 140, 43, 2, 5, 1, 4
2021/8/30, 74, 40, 1, 5, 1, 6
2021/8/31, 71, 32, 1, 4, , 5
2021/9/1, 68, 47, 2, 5, , 8
2021/9/2, 91, 45, 6, 6, , 5
2021/9/3, 81, 55, 8, 6, , 10
2021/9/4, 91, 67, 4, 7, , 11
2021/9/5, 112, 92, 6, 8, 1, 12
2021/9/6, 141, 61, 6, 6, , 6
2021/9/7, 110, 57, 24, 5, 2, 6
2021/9/8, 86, 63, 4, 5, 2, 7
2021/9/9, 106, 57, 4, 6, 1, 5
2021/9/10, 100, 25, 3, 6, , 5
2021/9/11, 56, 44, 7, 6, , 5
2021/9/12, 81, 54, 4, 6, , 6
2021/9/13, 95, 52, 3, 4, , 5
2021/9/14, 79, 56, 5, 5, , 8
2021/9/15, 70, 59, 10, 5, , 8
2021/9/16, 91, 45, 2, 4, , 3
2021/9/17, 72, 53, 7, 4, , 5
2021/9/18, 88, 67, 4, 4, 1, 6
2021/9/19, 103, 65, 4, 6, , 7
2021/9/20, 96, 52, 4, 5, , 4
2021/9/21, 83, 51, 4, 5, , 4
2021/9/22, 83, 50, 3, 5, , 4
2021/9/23, 81, 47, 4, 3, , 6
2021/9/24, 86, 49, 4, 3, , 4
2021/9/25, 93, 63, 4, 4, 1, 6
2021/9/26, 116, 83, 13, 5, 2, 6
2021/9/27, 144, 76, 7, 4, 2, 6
2021/9/28, 118, 68, 7, 4, 1, 6
2021/9/29, 108, 61, 11, 5, 1, 6
2021/9/30, 93, 96, 12, 6, 1, 9
2021/4/1, 104, 120, 20, 7, 8, 4
2021/4/2, 135, 109, 25, 11, 5, 6
2021/4/3, 133, 149, 22, 13, 8, 8
2021/4/4, 150, 135, 33, 14, 7, 8
2021/4/5, 154, 230, 41, 16, 8, 11
2021/4/6, 208, 150, 28, 5, 3, 4
2021/4/7, 148, 112, 25, 7, 5, 5
2021/4/8, 127, 128, 27, 10, 4, 7
2021/4/9, 131, 134, 33, 10, 10, 5
2021/4/10, 150, 163, 29, 10, 6, 8
2021/4/11, 157, 193, 33, 13, 7, 6
2021/4/12, 179, 225, 29, 12, 8, 6
2021/4/13, 195, 137, 26, 8, 6, 4
2021/4/14, 139, 169, 28, 11, 7, 5
2021/4/15, 161, 209, 5, 10, 3, 4
2021/4/16, 137, 87, 16, 6, 4, 4
2021/4/17, 117, 137, 29, 7, 6, 5
2021/4/18, 158, 177, 26, 11, 6, 10
2021/4/19, 152, 123, 27, 5, 6, 3
2021/4/20, 92, 82, 23, 2, 4, 2
2021/4/21, 116, 97, 31, 4, 4, 3
2021/4/22, 128, 83, 19, 3, 3, 3
2021/4/23, 115, 93, 28, 7, 3, 4
2021/4/24, 121, 171, 31, 8, 6, 7
2021/4/25, 187, 289, 40, 14, 10, 13
2021/4/26, 272, 317, 39, 15, 9, 14
2021/4/27, 263, 342, 37, 14, 10, 12
2021/4/28, 286, 326, 32, 9, 8, 8
2021/4/29, 252, 280, 31, 9, 8, 8
2021/4/30, 214, 161, 45, 6, 4, 5
2021/5/1, 159, 156, 30, 7, 4, 5
2021/5/2, 150, 235, 21, 6, 6, 5
2021/5/3, 166, 132, 17, 6, 4, 6
2021/5/4, 141, 120, 27, 5, 3, 11
2021/5/5, 156, 129, 15, 3, 2, 11
2021/5/6, 137, 94, 26, 10, 3, 11
2021/5/7, 144, 106, 21, 11, 3, 12
2021/5/8, 152, 91, 28, 6, 2, 10
2021/5/9, 138, 131, 18, 10, 1, 12
2021/5/10, 127, 86, 15, 5, 1, 10
2021/5/11, 123, 94, 7, 5, 1, 9
2021/5/12, 108, 64, 4, 5, 1, 9
2021/5/13, 105, 87, 7, 7, 1, 10
2021/5/14, 131, 95, 9, 7, 2, 10
2021/5/15, 114, 105, 20, 8, 4, 13
2021/5/16, 148, 137, 6, 18, 3, 15
2021/5/17, 168, 55, 2, 5, , 9
2021/5/18, 74, 45, 3, 3, , 9
2021/5/19, 102, 44, 7, 5, , 9
2021/5/20, 89, 52, 8, 6, , 10
2021/5/21, 104, 53, 4, 7, , 10
2021/5/22, 97, 308, 5, 2, , 9
2021/5/23, 194, 92, 14, 5, 1, 9
2021/5/24, 131, 90, 18, 6, 1, 10
2021/5/25, 121, 100, 11, 10, 2, 12
2021/5/26, 129, 102, 10, 10, 1, 13
2021/5/27, 128, 78, 5, 5, , 10
2021/5/28, 96, 69, 5, 2, , 9
2021/5/29, 54, 86, 6, 3, , 9
2021/5/30, 69, 90, 11, 11, 1, 12
2021/5/31, 103, 53, 12, 3, , 8
2021/6/1, 83, 85, 8, 5, 1, 10
2021/6/2, 119, 106, 18, 5, 1, 10
2021/6/3, 156, 126, 13, 5, 1, 12
2021/6/4, 159, 75, 12, 8, 1, 9
2021/6/5, 105, 106, 12, 7, 2, 11
2021/6/6, 115, 127, 7, 9, 3, 12
2021/6/7, 140, 318, 4, 6, 3, 10
2021/6/8, 145, 252, 5, 5, 2, 11
2021/6/9, 137, 137, 3, 5, 1, 10
2021/6/10, 144, 93, 10, 6, , 10
2021/6/11, 98, 72, 6, 4, , 9
2021/6/12, 99, 63, 3, 5, , 11
2021/6/13, 108, 71, 9, 4, , 9
2021/6/14, 101, 80, 7, 2, , 10
2021/6/15, 97, 60, 5, 3, 1, 10
2021/6/16, 103, 81, 8, 4, , 11
2021/6/17, 129, 51, 6, 5, , 10
2021/6/18, 81, 51, 4, 4, , 9
2021/6/19, 85, 33, 4, 3, 2, 9
2021/6/20, 55, 64, 9, 7, , 11
2021/6/21, 99, 100, 13, 6, , 9
2021/6/22, 115, 211, 16, 8, 1, 11
2021/6/23, 153, 85, 15, 6, , 10
2021/6/24, 129, 121, 15, 6, 1, 9
2021/6/25, 123, 105, 15, 7, 1, 13
2021/6/26, 150, 123, 9, 7, 1, 11
2021/6/27, 161, 105, 15, 8, 1, 11
2021/6/28, 147, 131, 10, 8, 2, 11
2021/6/29, 139, 258, 5, 6, 3, 9
2021/6/30, 141, 168, 8, 6, 2, 10
2021/1/4, 172, 66, 2, 8, 1, 8
2021/1/5, 133, 140, 5, 10, 1, 11
2021/1/6, 216, 117, 7, 6, , 7
2021/1/7, 184, 130, 4, 7, 2, 8
2021/1/8, 192, 131, 4, 6, 3, 8
2021/1/9, 190, 113, 8, 5, 1, 7
2021/1/10, 184, 121, 11, 7, 1, 7
2021/1/11, 185, 181, 9, 9, 1, 13
